 DATE        UBIT      DURATION    ACTIVITY & TOOL DESCRIPTION
 2025/02/24  adnionoh  60 minutes  created and edited code.c, laying the groundwork for future implementations of the main function and helper functions. Created GitHub repo

 DATE        UBIT      DURATION    ACTIVITY & TOOL DESCRIPTION                               
 2025/02/25  adnionoh  120 minutes further developed and conceptualized our project solutionand added personal github branches and a test branch

 DATE        UBIT      DURATION    ACTIVITY & TOOL DESCRIPTION                                
 2025/02/26  adnionoh  60 minutes  implemented f function   

 DATE        UBIT      DURATION    ACTIVITY & TOOL DESCRIPTION                                
 2025/02/27  adnionoh  60 minutes  implemented records function and helper functions along with it

 DATE        UBIT      DURATION    ACTIVITY & TOOL DESCRIPTION
 2025/02/28  adnionoh  60 minutes  testing h and records
